Rank,First name,Last name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Total,Medal
25,,,G,C,A,N,G,A,N,G,A,C,,
1,Markus,Sprecher,7,7,7,7,7,7,7,7,7,7,70,G
2,Marc,Stephan,7,7,7,5,2,7,7,7,7,0,56,G
3,Vladimir,Serbinenko,7,7,4,7,5,7,7,0,7,4,55,S
4,Philipp,Kr?henb?hl,7,5,7,3,5,7,6,0,7,5,52,S
5,Philipp,H?rler,7,7,-,7,5,7,0,7,7,-,47,S
6,Simon,Schuler,1,7,7,7,0,7,7,0,5,4,45,S
7,Federico,Sequeda,7,7,7,7,0,7,7,-,0,2,44,B
8,Le Thanh Tu,Nguyen,7,6,7,3,0,7,5,7,0,0,42,B
9,Manuela,D?bendorfer,7,5,0,0,0,7,7,7,7,0,40,B
10,Paul,Ziegler,7,7,6,6,-,1,2,2,7,-,38,B
11,Simon,Hasenfratz,7,4,6,0,-,7,4,7,2,-,37,B
11,Mich?le,Itten,6,7,4,1,0,0,7,2,7,3,37,B
13,Andreas,B?rtschi,7,7,4,-,-,7,7,0,-,4,36,
14,Colin,Streich,1,7,2,7,5,0,4,3,0,0,29,
14,Patrick,Wespi,7,7,-,-,0,7,1,7,0,0,29,
16,Michael,Belfrage,1,5,7,1,0,7,7,0,0,0,28,
16,Andi,Keller,7,7,0,0,0,7,0,7,0,-,28,
18,Dominik,M?ller,1,7,2,0,0,0,7,7,2,0,26,
19,Michael,Bloesch,0,6,-,3,-,7,1,7,0,1,25,
20,Flavio,Rump,7,6,0,0,0,2,0,7,0,0,22,
21,Matthias,B?ller,7,6,0,0,0,2,1,4,0,0,20,
22,Nathanael,Sokoll,4,3,0,0,2,0,5,3,2,-,19,
23,Thomas,Gobet,1,7,-,0,0,7,3,0,0,0,18,
24,Elias,Weber,1,7,0,0,0,0,1,2,0,0,11,
25,Manohar,Jonnalagedda,1,1,0,0,0,4,0,1,0,-,7,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
