Rank,First name,Last name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Total,Medal
24,,,G,C,N,A,A,N,G,N,G,C,,
1,Markus,Sprecher,?,?,?,?,?,?,?,?,?,?,56,G
2,Reto,Locher,?,?,?,?,?,?,?,?,?,?,52,G
3,Vladimir,Serbinenko,?,?,?,?,?,?,?,?,?,?,34,S
4,Marc,Stephan,?,?,?,?,?,?,?,?,?,?,27,S
5,David,Oehri,?,?,?,?,?,?,?,?,?,?,25,S
5,Tatjana,H?hlen,?,?,?,?,?,?,?,?,?,?,25,S
7,Andi,Keller,?,?,?,?,?,?,?,?,?,?,24,B
8,Simon,Hasenfratz,?,?,?,?,?,?,?,?,?,?,23,B
9,Andrin,Schmidt,?,?,?,?,?,?,?,?,?,?,22,B
10,Philipp,Arbenz,?,?,?,?,?,?,?,?,?,?,21,B
10,Mich?le,Itten,?,?,?,?,?,?,?,?,?,?,21,B
10,Andreas,Steiger,?,?,?,?,?,?,?,?,?,?,21,B
?,David,Barmaz,?,?,?,?,?,?,?,?,?,?,?,
?,Michael,Belfrage,?,?,?,?,?,?,?,?,?,?,?,
?,Michael,Bl?sch,?,?,?,?,?,?,?,?,?,?,?,
?,Manuela,D?bendorfer,?,?,?,?,?,?,?,?,?,?,?,
?,Philipp,H?rler,?,?,?,?,?,?,?,?,?,?,?,
?,Marco,Hutter,?,?,?,?,?,?,?,?,?,?,?,
?,Thomas,Kiser,?,?,?,?,?,?,?,?,?,?,?,
?,Daniel,Meister,?,?,?,?,?,?,?,?,?,?,?,
?,Sandra,Rezzonico,?,?,?,?,?,?,?,?,?,?,?,
?,Gregor,Specher,?,?,?,?,?,?,?,?,?,?,?,
?,Nicolas,Volet,?,?,?,?,?,?,?,?,?,?,?,
?,Patrick,Wespi,?,?,?,?,?,?,?,?,?,?,?,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
