Rank,First name,Last name,P1,P2,P3,P4,P5,P6,P7,P8,Total,Medal
25,,,A,G,C,N,N,C,G,A,,
1,Raphael,Angst,6,7,5,4,6,5,7,3,43,G
2,Yanta,Wang,6,7,0,0,7,6,7,0,33,G
3,Johann,Williams,7,7,0,7,7,2,2,0,32,S
4,Ricardo,Olivo,7,7,2,1,6,2,2,4,31,S
4,Julia,Sollberger,7,7,0,1,3,4,7,2,31,S
6,Ema,Skottova,7,7,1,1,6,7,0,0,29,S
7,Jo?l,Huber,7,7,2,1,7,4,0,0,28,B
8,Tim,Frey,4,7,6,0,7,2,1,0,27,B
8,Florian,Keta,6,7,2,1,7,2,0,2,27,B
10,Philipp,Junghans,7,7,2,0,7,2,-,0,25,B
11,Rada,Kamysheva,6,7,0,1,7,2,0,1,24,B
12,Pepijn,Cobben,7,7,1,3,2,1,1,0,22,B
13,Mathys,Douma,6,7,0,2,2,2,1,0,20,
14,Yanis,Bena,1,3,2,-,7,5,1,0,19,
14,Bora,Olmez,6,7,0,0,2,2,2,-,19,
14,Jonas,Meier,4,7,1,2,2,3,0,0,19,
17,Fadri,Lardon,4,1,0,1,7,4,1,0,18,
18,Elia,Steinfeld,6,0,1,1,6,2,1,0,17,
19,Samuel,Demeyer,4,0,0,-,3,6,0,0,13,
20,Jake,Bogdan,7,2,0,-,1,2,0,0,12,
20,Lorena,Schwerzmann,2,3,0,0,4,2,1,0,12,
22,Eric,Wermelinger,0,1,1,0,1,4,1,2,10,
23,Daniel,Barta,0,1,0,0,2,2,0,0,5,
24,Richard,Salnikov,-,1,0,0,1,1,1,0,4,
25,Aisha,Azhgaliyeva,0,1,0,0,0,0,1,0,2,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
