Rank,First name,Last name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Total,Medal
27,,,G,N,A,C,G,A,G,C,A,N,,
1,Florian,Meier,7,4,7,7,0,7,7,7,7,4,57,
2,Raphael,Steiner,7,4,7,0,6,7,7,7,1,6,52,G
3,Eben,Freeman,6,4,6,0,0,7,7,0,7,4,41,G
4,Hrvoje,Dujmovic,7,4,0,4,0,7,7,7,0,1,37,S
5,Clemens,Pohle,6,4,7,0,1,2,7,7,0,0,34,S
6,Lucas,Dahinden,7,4,3,0,1,5,7,0,4,1,32,S
7,Cyril,Lagger,7,0,6,0,0,2,7,7,0,2,31,S
7,J?rg,Bachmann,6,4,0,1,0,7,7,4,0,2,31,S
9,Pascal,Su,0,0,0,7,1,4,7,7,0,1,27,B
10,Patrizia,H?hlen,4,4,0,0,0,0,7,7,0,0,22,B
10,Christian,Weymann,0,5,0,0,-,7,7,0,-,3,22,B
12,Yannick,Suter,5,2,0,-,-,1,7,5,0,0,20,B
13,Raphael,Schumacher,5,1,4,-,0,0,4,0,0,3,17,B
13,Lukas,Brun,6,4,3,-,0,2,0,-,0,2,17,B
15,Laura,Gremion,3,4,0,0,0,2,7,0,0,0,16,
15,Timon,Gehr,2,2,0,0,-,3,0,7,-,2,16,
17,Renato,Huber,0,4,5,-,1,0,1,3,0,0,14,
18,Titus,Cieslewski,4,4,0,0,0,5,0,0,0,0,13,
18,Ulrich,Brodowsky,0,1,0,0,0,6,0,4,0,2,13,
20,Ricarda,Gassner,0,2,0,0,1,1,1,7,0,0,12,
21,H?l?ne,Aschmann,5,0,0,1,0,0,2,0,0,2,10,
22,Adrian,Roos,2,4,0,-,-,1,1,-,-,1,9,
22,Fr?d?ric,Sabatier,4,0,0,0,0,3,2,-,0,0,9,
24,Marcel,Burkhalter,0,0,0,0,0,0,0,6,0,2,8,
25,Josef,Ziegler,0,5,0,0,0,0,0,-,0,0,5,
26,Hayley,Ross,0,0,0,0,0,0,1,0,0,0,1,
27,Laurent,Eriksen,-,-,-,-,-,-,-,-,-,-,0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
