"Rank","First name","Last name","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","Total","Medal"
"27","","","G","A","N","C","G","N","C","G","C","A","",""
"1","Dimitri ","Wyss ","7","7","2","1","-","6","6","5","7","4","45","G"
"2","Eben ","Freeman ","7","7","7","1","-","7","5","7","0","1","42","G"
"3","Raphael ","Steiner ","7","3","7","1","-","7","6","2","3","4","40","S"
"4","Clemens ","Pohle ","3","3","6","1","-","7","7","7","2","0","36","S"
"5","Bernhard ","Brodowsky ","0","6","2","1","-","7","7","7","5","0","35","S"
"6","Georg ","Balmer ","7","0","6","1","1","7","5","0","5","0","32","S"
"6","Hrvoje ","Dujmovic ","0","2","6","1","-","7","7","7","2","0","32","S"
"6","Johannes ","Josi ","7","2","5","1","-","7","6","-","4","-","32","S"
"9","Cyril ","Lagger ","7","2","1","1","-","7","5","7","1","0","31","B"
"10","Lucas ","Dahinden ","3","3","3","1","-","7","7","3","3","0","30","B"
"11","Michael ","Liu ","1","0","7","","-","7","5","6","1","2","29","B"
"11","Florian ","Meier ","0","2","2","1","-","7","6","5","4","2","29",""
"13","Pascal ","Wild ","7","3","1","1","-","7","5","3","1","0","28","B"
"14","Pascal ","Su ","7","2","2","0","-","7","6","0","1","2","27",""
"14","Titus ","Cieslewski ","7","0","7","1","-","0","6","5","1","0","27",""
"16","Adrien ","de Gottrau ","3","2","-","1","-","6","7","3","2","0","24",""
"17","Philipp ","Wirth ","1","0","3","1","-","5","7","5","1","0","23",""
"18","Jürg ","Bachmann ","1","2","1","1","-","7","6","-","4","0","22",""
"19","Ulrich ","Brodowsky ","0","0","1","1","1","7","6","1","2","0","19",""
"20","Patrizia ","Hählen ","7","2","0","1","-","1","0","5","2","0","18",""
"20","Louis ","Soares Correia ","3","7","-","1","-","7","-","-","0","-","18",""
"20","Christian ","Weymann ","0","2","1","1","-","7","6","0","1","-","18",""
"23","Raphael ","Schumacher ","3","0","4","0","-","2","7","0","1","-","17",""
"23","Lukas ","Brun ","3","2","1","1","1","7","0","1","1","-","17",""
"25","Levy ","Jäger ","3","0","1","0","-","7","0","1","1","0","13",""
"26","Ricarda ","Gassner ","2","2","1","1","-","2","0","0","1","0","9",""
"27","Marina ","Ernst ","0","0","0","0","-","2","5","0","1","-","8",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
